Make,Model,DeviceCount
Dell,LATITUDE 7420,4774
Dell,OPTIPLEX 5080,3638
Dell,LATITUDE 7440,3125
Dell,OPTIPLEX MICRO PLUS 7020,3055
Dell,LATITUDE 7450,3010
Hewlett-Packard,HP EliteBook 840 G1,2654
Dell,OPTIPLEX MICRO PLUS 7010,2552
Hewlett-Packard,HP ELITEBOOK 840 G5,2383
Hewlett-Packard,HP ELITEBOOK 840 G3,2341
Hewlett-Packard,HP ELITEBOOK 840 G6,2279
Dell,LATITUDE 7430,2151
Hewlett-Packard,HP ELITEBOOK 840 G4,2089
Hewlett-Packard,HP ELITEDESK 800 G3 SFF,2045
Dell,OPTIPLEX 5090,1944
Dell,DELL PRO MICRO PLUS QBM1250,1611
Hewlett-Packard,HP ELITEDESK 705 G4 DM 35W (TAA),1570
Dell,DELL PRO 14 PLUS PB14250,1296
Hewlett-Packard,HP ELITEDESK 800 G4 SFF,1283
Dell,OPTIPLEX 5000,1277
Dell,LATITUDE 7410,1207
Hewlett-Packard,HP ELITEDESK 800 G2 SFF,1176
Hewlett-Packard,HP EliteBook 8470p,1110
Dell,LATITUDE 7400,977
Hewlett-Packard,HP EliteBook 840 G2,915
Dell,LATITUDE 5520,870
Hewlett-Packard,HP ELITEBOOK 840 G2,826
Dell,LATITUDE 5540,760
Dell,OPTIPLEX 5070,685
Dell,LATITUDE 5550,585
Dell,DELL PRO 16 PC16250,556
Hewlett-Packard,HP ELITEBOOK 840 G1,547
Hewlett-Packard,HP ELITEDESK 800 G1 SFF,531
Dell,LATITUDE 5530,504
Hewlett-Packard,HP ELITEDESK 800 G4 DM 35W (TAA),449
Hewlett-Packard,HP ELITEDESK 800 G2 DM 35W,286
Dell,LATITUDE 5510,276
Hewlett-Packard,HP EliteBook Folio 9470m,262
Apple,"IMAC (24-INCH, M1, 2021)",213
Hewlett-Packard,HP ElitePad 1000 G2,200
Apple,"MACBOOK PRO (13-INCH, 2020, FOUR THUNDERBOLT 3 PORTS)",196
Hewlett-Packard,HP EliteDesk 800 G1 SFF,190
Hewlett-Packard,HP ELITEDESK 800 G3 DM 35W,189
Dell,LATITUDE 5320,175
Dell,DELL PRO 13 PLUS PB13250,173
Dell,OPTIPLEX SFF PLUS 7010,158
Apple,"IMAC18,1",147
Apple,"MACBOOK AIR (M2, 2022)",143
Apple,"MACBOOKPRO13,2",133
Apple,"MACBOOK PRO (16-INCH, 2019)",131
Hewlett-Packard,HP PRODESK 600 G6 DESKTOP MINI PC,127
Hewlett-Packard,HP Z4 G4 WORKSTATION,108
Apple,"MACBOOKPRO15,2",108
Apple,"MACBOOKPRO11,4",106
Hewlett-Packard,HP EliteBook Revolve 810 G2,101
Dell,OPTIPLEX SFF PLUS 7020,92
Hewlett-Packard,HP ELITEBOOK 8470P,92
HP,HP EliteBook 840 G3,92
Apple,"IMAC16,1",91
Apple,"21.5"" IMAC (MID 2017)",88
Apple,"13"" MACBOOK PRO WITH THUNDERBOLT 3 AND TOUCH ID (MID 2018)",84
Apple,"MACBOOKAIR7,2",82
Hewlett-Packard,HP ElitePad 900,81
Apple,"IMAC17,1",77
Apple,"MACBOOKPRO15,1",76
Apple,"MACBOOK PRO (14-INCH, 2021)",73
Apple,"MACBOOKPRO14,3",73
Apple,"IMAC18,3",73
Dell,PRECISION 3460,71
Apple,"MACBOOK PRO (16-INCH, 2021)",68
Dell,LATITUDE 7330,64
Apple,"IMAC (27-INCH, 2020)",62
Apple,"IMAC16,2",62
Hewlett-Packard,HP ELITEDESK 800 G2 TWR,60
Dell,OPTIPLEX TOWER PLUS 7010,59
Apple,"MACBOOK PRO (13-INCH, M1, 2020)",52
Hewlett-Packard,HP ELITEDESK 800 G1 DM,52
Dell,OPTIPLEX 7080,51
Hewlett-Packard,HP ELITEBOOK X360 1020 G2,51
Hewlett-Packard,HP ELITEBOOK REVOLVE 810 G3,51
Apple,"15"" MACBOOK PRO WITH THUNDERBOLT 3 AND TOUCH ID (MID 2018)",50
